L0,x,y,H0
0.0625,0.3125,0.5,0.027041912
0.0625,0.3125,0.5625,0.016605139
0.0625,0.3125,0.625,0.06964874
0.0625,0.3125,0.6875,0.077816725
0.0625,0.3125,0.75,0.083830595
0.0625,0.3125,0.8125,0.050224304
0.0625,0.3125,0.875,0.041069508
0.0625,0.3125,0.9375,0.3666706
0.0625,0.3125,1.0,0.21558046
0.0625,0.3125,1.0625,0.266016
0.0625,0.3125,1.125,0.1758635
0.0625,0.3125,1.1875,0.039268255
0.0625,0.3125,1.25,0.050073624
0.0625,0.3125,1.3125,0.046169996
0.0625,0.3125,1.375,0.42245197
0.0625,0.3125,1.4375,0.4321978
0.0625,0.3125,1.5,0.052488804
0.0625,0.3125,1.5625,0.06431651
0.0625,0.3125,1.625,0.07964897
0.0625,0.3125,1.6875,0.11347675
0.0625,0.3125,1.75,0.09053755
0.0625,0.3125,1.8125,0.05667329
0.0625,0.3125,1.875,0.06333327
0.0625,0.3125,1.9375,0.13240623
0.0625,0.375,0.0,0.16717982
0.0625,0.375,0.0625,0.0770669
0.0625,0.375,0.125,0.054291725
0.0625,0.375,0.1875,0.084298134
0.0625,0.375,0.25,0.05554557
0.0625,0.375,0.3125,0.064805984
0.0625,0.375,0.375,0.09549236
0.0625,0.375,0.4375,0.1319418
0.0625,0.375,0.5,0.1465416
0.0625,0.375,0.5625,0.086067915
0.0625,0.375,0.625,0.1281972
0.0625,0.375,0.6875,0.123199224
0.0625,0.375,0.75,0.066061735
0.0625,0.375,0.8125,0.10902262
0.0625,0.375,0.875,0.1689806
0.0625,0.375,0.9375,0.34222627
0.0625,0.375,1.0,0.033861876
0.0625,0.375,1.0625,0.19515538
0.0625,0.375,1.125,0.3123498
0.0625,0.375,1.1875,0.07628918
0.0625,0.375,1.25,0.032482624
0.0625,0.375,1.3125,0.070017815
0.0625,0.375,1.375,0.50303364
0.0625,0.375,1.4375,0.47045112
0.0625,0.375,1.5,0.15527058
0.0625,0.375,1.5625,0.1669066
0.0625,0.375,1.625,0.16975999
0.0625,0.375,1.6875,0.21790361
0.0625,0.375,1.75,0.2872231
0.0625,0.375,1.8125,0.23641968
0.0625,0.375,1.875,0.23479247
0.0625,0.375,1.9375,0.06474376
0.0625,0.4375,0.0,0.10287142
0.0625,0.4375,0.0625,0.093898535
0.0625,0.4375,0.125,0.060540676
0.0625,0.4375,0.1875,0.06120062
0.0625,0.4375,0.25,0.10228133
0.0625,0.4375,0.3125,0.071543455
0.0625,0.4375,0.375,0.15391016
0.0625,0.4375,0.4375,0.053664207
0.0625,0.4375,0.5,0.053428173
0.0625,0.4375,0.5625,0.13589692
0.0625,0.4375,0.625,0.1400311
0.0625,0.4375,0.6875,0.20130157
0.0625,0.4375,0.75,0.19716549
0.0625,0.4375,0.8125,0.12450886
0.0625,0.4375,0.875,0.10245514
0.0625,0.4375,0.9375,0.19992971
0.0625,0.4375,1.0,0.057547808
0.0625,0.4375,1.0625,0.025985718
0.0625,0.4375,1.125,0.14242268
0.0625,0.4375,1.1875,0.38614535
0.0625,0.4375,1.25,0.39581966
0.0625,0.4375,1.3125,0.5265634
0.0625,0.4375,1.375,0.50034285
0.0625,0.4375,1.4375,0.062351465
0.0625,0.4375,1.5,0.095066786
0.0625,0.4375,1.5625,0.058779955
0.0625,0.4375,1.625,0.042728662
0.0625,0.4375,1.6875,0.02383399
0.0625,0.4375,1.75,0.08263445
0.0625,0.4375,1.8125,0.15805316
0.0625,0.4375,1.875,0.26007628
0.0625,0.4375,1.9375,0.06694889
0.0625,0.5,0.0,0.15630054
0.0625,0.5,0.0625,0.14685202
0.0625,0.5,0.125,0.038184404
0.0625,0.5,0.1875,0.070314646
0.0625,0.5,0.25,0.079882145
0.0625,0.5,0.3125,0.07157135
0.0625,0.5,0.375,0.1791122
0.0625,0.5,0.4375,0.05066657
0.0625,0.5,0.5,0.061025143
0.0625,0.5,0.5625,0.0775156
0.0625,0.5,0.625,0.068401575
0.0625,0.5,0.6875,0.08076906
0.0625,0.5,0.75,0.07589245
0.0625,0.5,0.8125,0.11038852
0.0625,0.5,0.875,0.10628915
0.0625,0.5,0.9375,0.17643714
0.0625,0.5,1.0,0.21211696
0.0625,0.5,1.0625,0.023523808
0.0625,0.5,1.125,0.026134014
0.0625,0.5,1.1875,0.0704844
0.0625,0.5,1.25,0.43409562
0.0625,0.5,1.3125,0.46214867
0.0625,0.5,1.375,0.054156303
0.0625,0.5,1.4375,0.06563616
0.0625,0.5,1.5,0.061901093
0.0625,0.5,1.5625,0.03370428
0.0625,0.5,1.625,0.054406404
0.0625,0.5,1.6875,0.067788124
0.0625,0.5,1.75,0.055862904
0.0625,0.5,1.8125,0.2562871
0.0625,0.5,1.875,0.28267097
0.0625,0.5,1.9375,0.08338857
0.0625,0.5625,0.0,0.15342546
0.0625,0.5625,0.0625,0.29496074
0.0625,0.5625,0.125,0.2576337
0.0625,0.5625,0.1875,0.098412275
0.0625,0.5625,0.25,0.067397594
0.0625,0.5625,0.3125,0.16095519
0.0625,0.5625,0.375,0.17403436
0.0625,0.5625,0.4375,0.083242655
0.0625,0.5625,0.5,0.09126663
0.0625,0.5625,0.5625,0.14063549
0.0625,0.5625,0.625,0.07983971
0.0625,0.5625,0.6875,0.028942347
0.0625,0.5625,0.75,0.050272703
0.0625,0.5625,0.8125,0.063657284
0.0625,0.5625,0.875,0.0588274
0.0625,0.5625,0.9375,0.109405756
0.0625,0.5625,1.0,0.20898294
0.0625,0.5625,1.0625,0.03208208
0.0625,0.5625,1.125,0.066502094
0.0625,0.5625,1.1875,0.059862375
0.0625,0.5625,1.25,0.11206293
0.0625,0.5625,1.3125,0.075001
0.0625,0.5625,1.375,0.110144615
0.0625,0.5625,1.4375,0.08273935
0.0625,0.5625,1.5,0.07347298
0.0625,0.5625,1.5625,0.065129995
0.0625,0.5625,1.625,0.01996851
0.0625,0.5625,1.6875,0.10297251
0.0625,0.5625,1.75,0.0601902
0.0625,0.5625,1.8125,0.21736217
0.0625,0.5625,1.875,0.092206955
0.0625,0.5625,1.9375,0.09240055
0.0625,0.625,0.0,0.10077739
0.0625,0.625,0.0625,0.07763314
0.0625,0.625,0.125,0.31052303
0.0625,0.625,0.1875,0.11048794
0.0625,0.625,0.25,0.121706486
0.0625,0.625,0.3125,0.07889366
0.0625,0.625,0.375,0.06850171
0.0625,0.625,0.4375,0.093882084
0.0625,0.625,0.5,0.058826923
0.0625,0.625,0.5625,0.16943455
0.0625,0.625,0.625,0.0985868
0.0625,0.625,0.6875,0.09237838
0.0625,0.625,0.75,0.14275813
0.0625,0.625,0.8125,0.08282566
0.0625,0.625,0.875,0.066854
